Ele_A,A num,cs,Ele_B,B num,Hf,E,Abun,Atm mass
Sb,121,9.851777,Sb,122,2.34E+05,564.24,57.368,121.76
Sb,123,7.5932164,Sb,124,5.20E+06,602.727,42.79,121.76
Te,128,4.6099463,Te,129,4.20E+03,459.6,31.691,127.6
Te,130,4.802313,Te,130,1.50E+03,1146.96,34.08,127.6
I,127,9.916659,I,128,1.50E+03,442.901,100,126.9045
Xe,132,4.226532,Xe,133,-,-,26.95,131.293
Cs,133,33.222057,Cs,134m,1.05E+04,127.502,100,132.9055
Ba,130,9.728638,Ba,131,9.94E+05,496.326,0.11,137.327
Ba,132,14.428721,Ba,133,3.31E+08,356.013,0.1,137.327
Ba,138,4.485192,Ba,139,4.96E+03,165.864,71.707,137.327
La,139,19.304771,La,140,1.45E+05,1596.21,99.90982,138.9055
Hf,179,49.84552,Hf,180m,1.98E+04,332.275,13.62,178.49
Hf,180,35.524776,Hf,181,3.72E+06,482.18,35.1007,178.49
Hf,182,141.99669,Hf,183,3.84E+03,783.753,syn,178.49
Ta,181,27.43,Ta,182m,9.60E+02,171.586,99.9882,180.9479
W,184,8.996676,W,185,6.48E+06,125.358,30.6715,183.84
W,186,38.220257,W,187,8.54E+04,685.73,28.43,183.84
Re,187,87.93378,Re,188,6.01E+04,155.041,62.602,186.207
Os,184,3030.068,Os,185,8.32E+06,646.116,0.02,190.23
Os,190,29.543806,Os,191,1.33E+06,129.431,26.26,190.23
Os,192,18.079357,Os,193,-,-,41.08,190.23
Ir,191,975.0274,Ir,192,6.38E+06,316.508,37.3,192.217
Ir,193,124.94699,Ir,194,6.98E+04,328.448,62.75,192.217
Pt,194,14.1229925,Pt,191,2.42E+05,538.87,32.864,195.078
Pt,195,36.51188,Pt,196,-,-,33.86,195.078
Pt,198,9.891694,Pt,199,1.85E+03,542.98,7.356,195.078
Au,197,107.62349,Au,198,2.33E+05,411.802,100,196.9665
Hg,196,3209.0188,Hg,197m,8.57E+04,133.98,0.15,
Hg,202,19.593176,Hg,203,4.03E+06,279.197,29.862,200.59
Tl,205,9.376931,-,-,-,-,70.47614,204.3833
Pb,208,11.399512,-,-,-,-,52.41,207.2
Bi,209,9.356902,-,-,-,-,100,208.9804
Po,210,8.179875,Po,211,-,-,trace,209
At,209,39.54863,At,210,-,-,syn,210
Rn,222,8.049782,Rn,223,-,-,trace,222
,,,,,-,,,
Ce,140,4.1970763,Ce,141,2.80E+06,145.4405,88.481,140.116
Pr,141,14.298513,Pr,142,6.91E+04,1575.6,100,140.9077
Nd,142,26.783255,Nd,143,-,-,27.1312,144.24
Nd,146,11.782573,Nd,147,948672,91.105,17.2,144.24
Nd,148,6.9970226,Nd,149,6220.8,211.309,5.8,144.24
Nd,150,5.6800437,Nd,151,746.4,116.8,5.6,
Pm,145,75.91249,Pm,146,-,-,trace,145
Sm,150,123.46255,Sm,151,2.86E+09,21.543,7.37,150.36
Sm,152,210.38016,Sm,153,1.67E+05,103.18,26.72,150.36
Eu,151,9283.707,Eu,152m,3.35E+04,841.594,47.8,151.964
Eu,153,369.57263,Eu,154,2.71E+08,123.071,52.215,151.964
Eu,155,3789.763,Eu,156,1.31E+06,88.966,syn,151.964
Gd,152,1041.4275,Gd,153,2.08E+07,97.431,0.2,157.25
Gd,158,7.8722277,Gd,159,6.65E+04,363.543,24.84,157.25
